"","F_Type","M","M_Type","Multiplier","Parameter","Delta","Species","F","Catch","SSB","SBmsy","Fmsy","Cmsy"
"49","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.489795918367347,0.00723101067774504,0.0344607403104047,165527838.645785,0.0424602537391713,6649813.55587714
"50","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.5,0.0071604254352737,0.0341004096377879,165527838.645785,0.0424602537391713,6649813.55587714
"51","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0,0,2552073873.74075,661890980.564103,0.0642498146425817,39778673.954885
"52","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.0102040816326531,19204411.1924627,1919906490.01079,661890980.564103,0.0642498146425817,39778673.954885
"53","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.0204081632653061,29587230.9130452,1489574622.05209,661890980.564103,0.0642498146425817,39778673.954885
"54","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.0306122448979592,35133459.3895447,1188571684.73505,661890980.564103,0.0642498146425817,39778673.954885
"55","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.0408163265306122,37986564.9441066,972258558.544992,661890980.564103,0.0642498146425817,39778673.954885
"56","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.0510204081632653,39313170.4570341,812679331.409028,661890980.564103,0.0642498146425817,39778673.954885
"57","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.0612244897959184,39757496.7460894,692000314.959856,661890980.564103,0.0642498146425817,39778673.954885
"58","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.0714285714285714,39681575.7598408,598621589.672476,661890980.564103,0.0642498146425817,39778673.954885
"59","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.0816326530612245,39293129.3397359,524844331.466255,661890980.564103,0.0642498146425817,39778673.954885
"60","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.0918367346938775,38714218.8897033,465452614.27352,661890980.564103,0.0642498146425817,39778673.954885
"61","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.102040816326531,38018491.9467193,416839075.547704,661890980.564103,0.0642498146425817,39778673.954885
"62","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.112244897959184,37251913.1361329,376460378.331932,661890980.564103,0.0642498146425817,39778673.954885
"63","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.122448979591837,36442990.9532903,342477143.48,661890980.564103,0.0642498146425817,39778673.954885
"64","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.13265306122449,35611088.4257084,313548183.810303,661890980.564103,0.0642498146425817,39778673.954885
"65","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.142857142857143,34770333.0889234,288680996.757697,661890980.564103,0.0642498146425817,39778673.954885
"66","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.153061224489796,33928783.5892439,267106793.189961,661890980.564103,0.0642498146425817,39778673.954885
"67","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.163265306122449,33092701.6644971,248239649.874935,661890980.564103,0.0642498146425817,39778673.954885
"68","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.173469387755102,32266068.6550464,231618531.931507,661890980.564103,0.0642498146425817,39778673.954885
"69","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.183673469387755,31453185.2252058,216889439.931589,661890980.564103,0.0642498146425817,39778673.954885
